CODE,EVENT.PASS,SINGLE.CAM,MOVEMENT,CAM.FUNCT,DUAL.PRESENCE,SINGLE.RECORDED,WET.DRY,TEMPERATURE,DATE,TIME,D.COUNT,S.COUNT,D.AD.COUNT,S.AD.COUNT,D.SEX,D.AD.SEX,S.AD.SEX,D.SPRAINT,S.SPRAINT,D.VOCAL,S.VOCAL,D.BEDDING,S.BEDDING,D.PLAY,S.PLAY,D.LOAF,S.LOAF,D.GROOMROLL,S.GROOMROLL,D.BEH.COUNT,S.BEH.COUNT
F1.1854,30,CLOSE,IN,y,1,1,W,0,08/05/2015,05:14,1,1,1,1,U,U,U,0,0,1,1,0,0,0,0,0,0,0,0,1,1
F1.1854,30,ROSE,TU,TU,1,0,U,0,08/05/2015,05:14,1,0,1,0,U,U,U,0,0,1,0,0,0,0,0,0,0,0,0,1,0
F1.433,31,CLOSE,OUT,y,1,1,W,5,20/04/2013,21:29,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.433,31,ROSE,TU,TU,1,0,U,5,20/04/2013,21:29,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.181,32,CLOSE,OUT,y,1,1,D,1,24/02/2014,21:32,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.181,32,ROSE,TU,TU,1,0,U,1,24/02/2014,21:32,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.9,33,CLOSE,OUT,y,1,1,D,4,26/03/2014,18:54,2,2,2,2,U,U,U,0,0,0,0,0,0,0,0,15,15,0,0,1,1
F1.9,33,ROSE,OUT,y,1,1,U,4,26/03/2014,18:54,2,1,1,1,U,U,U,0,0,0,0,0,0,0,0,15,0,0,0,1,0
F1.1611,34,CLOSE,OUT,y,1,1,D,0,31/03/2012,22:15,3,3,1,1,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.1611,34,ROSE,OUT,y,1,1,U,0,31/03/2012,22:15,3,1,1,1,U,U,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0
F1.344,35,CLOSE,OUT,y,1,1,W,8,14/12/2013,18:36,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.344,35,ROSE,TU,TU,1,0,U,8,14/12/2013,18:36,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.858,36,CLOSE,TU,TU,1,0,U,0,11/03/2011,20:45,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.858,36,ROSE,IN,y,1,1,U,0,11/03/2011,20:45,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
