EVENT,LAST.EVENT,INTERVAL,MINS.IN.HOLT,CUBS.PRES,UNPAIRED.REST,EXIT.FROM.REST,SCENT.AR,SCENT.DEP,DAYS.SINCE.CHECK,FUNCTION,PRES.ABS
16/03/2011,15/03/2011,1,917,1,,,,,2,ER,1
17/03/2011,16/03/2011,1,53.00000001,0,,,,,3,ER,1
19/03/2011,17/03/2011,2,830,1,,,,1,5,ER,1
22/03/2011,19/03/2011,3,956,1,,,,1,4,ER,1
23/03/2011,22/03/2011,1,1016,1,,,,1,5,ER,1
25/03/2011,23/03/2011,2,857,0,,,,,7,ER,1
03/04/2011,25/03/2011,9,13.99999999,0,,,,,6,ER,1
06/04/2011,03/04/2011,3,1126,1,,,1,1,9,ER,1
09/04/2011,06/04/2011,3,1214,1,,,,1,12,ER,1
10/04/2011,09/04/2011,1,1173,1,,,,3,13,ER,1
11/04/2011,10/04/2011,1,813,0,,,1,1,14,ER,1
14/04/2011,11/04/2011,3,1040,1,,,,,17,ER,1
17/04/2011,14/04/2011,3,1031,1,,1,,,2,ER,1
18/04/2011,17/04/2011,1,880,1,,,,2,3,ER,1
21/04/2011,18/04/2011,3,923,1,,,,,6,ER,1
25/04/2011,21/04/2011,4,901,1,,,,,10,MR,1
28/04/2011,25/04/2011,3,96.99999999,1,919,,,,0,MR,1
29/04/2011,28/04/2011,1,889,1,,,,,1,MR,1
30/04/2011,29/04/2011,1,2.999999999,0,,,,,2,MR,1
03/05/2011,30/04/2011,3,869,1,,,,1,5,MR,1
04/05/2011,03/05/2011,1,0,0,,,,,6,MR,1
10/05/2011,04/05/2011,6,816,1,,,,,12,MR,1
11/05/2011,10/05/2011,1,4.999999995,0,,,,,13,MR,1
13/05/2011,11/05/2011,2,0,0,,,,,0,MR,1
20/05/2011,13/05/2011,7,4.999999995,0,,,,1,7,MR,1
23/05/2011,20/05/2011,3,0,1,,1,,,10,MR,1
26/05/2011,23/05/2011,3,0,1,,1,,,13,MR,1
31/05/2011,26/05/2011,5,0,0,,,,,18,MR,1
23/12/2011,20/12/2011,3,5.999999999,0,,,,,3,C,1
05/01/2012,04/01/2012,1,1.999999996,0,,,,,1,ER,1
07/01/2012,05/01/2012,2,0,0,,,,,3,ER,1
12/01/2012,07/01/2012,5,0,0,,,,,8,ER,1
13/01/2012,12/01/2012,1,0,0,,1,,,9,ER,1
14/01/2012,13/01/2012,1,13,0,,,,,10,ER,1
15/01/2012,14/01/2012,1,8.000000005,1,,1,,,11,ER,1
16/01/2012,15/01/2012,1,4.000000003,0,,,,,12,ER,1
17/01/2012,16/01/2012,1,13,0,,,,,13,ER,1
21/01/2012,17/01/2012,4,1.999999996,0,,,1,,2,ER,1
23/01/2012,21/01/2012,2,5.000000006,0,,,1,1,4,ER,1
25/01/2012,23/01/2012,2,2.999999999,0,,,2,,6,ER,1
28/01/2012,25/01/2012,3,1.000000003,0,,,1,,9,ER,1
29/01/2012,28/01/2012,1,21.00000001,0,,,,,10,ER,1
30/01/2012,29/01/2012,1,629,0,,,2,1,11,ER,1
31/01/2012,30/01/2012,1,1.000000003,0,,,1,1,12,ER,1
01/02/2012,31/01/2012,1,976,0,,,1,,13,ER,1
02/02/2012,01/02/2012,1,0,0,,1,,,0,ER,1
03/02/2012,02/02/2012,1,0,0,,,,,1,ER,1
04/02/2012,03/02/2012,1,322,0,,,1,,2,ER,1
05/02/2012,04/02/2012,1,0,0,,,,,3,ER,1
06/02/2012,05/02/2012,1,788,0,,,,,4,ER,1
07/02/2012,06/02/2012,1,651,0,,,1,2,5,ER,1
08/02/2012,07/02/2012,1,819,0,,,,,6,ER,1
09/02/2012,08/02/2012,1,0,0,,,,,7,ER,1
11/02/2012,09/02/2012,2,318,0,,1,2,1,9,ER,1
12/02/2012,11/02/2012,1,823,0,,,,,10,ER,1
13/02/2012,12/02/2012,1,815,0,,,,,11,ER,1
14/02/2012,13/02/2012,1,862,0,,,,,12,MR,1
15/02/2012,14/02/2012,1,0,0,,,,1,13,MR,1
