Date,Date2,INTERVAL,MINS.IN.HOLT,CUBS.PRES,UNPAIRED.REST,EXIT.FROM.REST,Count of SCENT.AR,Count of SCENT.DEP,DAYS.SINCE.CHECK,FUNCTION,PRES.ABS,CAMS1.NOCAMS0,REST
13/12/2010,12/12/2010,1,779,0,,,,,4,PN,1,1,1
14/12/2010,13/12/2010,1,638,0,,,,,5,N,1,1,1
15/12/2010,14/12/2010,1,678,0,,1,,,6,N,1,1,1
17/12/2010,15/12/2010,2,0,0,,1,,,8,N,1,1,1
18/12/2010,17/12/2010,1,992,0,,,,,9,N,1,1,1
19/12/2010,18/12/2010,1,0,0,,1,,,10,N,1,1,1
22/12/2010,19/12/2010,3,480,0,,1,,,2,N,1,1,1
23/12/2010,22/12/2010,1,294,0,,,1,,3,N,1,1,1
24/12/2010,23/12/2010,1,302,0,,,,,4,N,1,1,1
25/12/2010,24/12/2010,1,0,0,,1,,,5,N,1,1,1
26/12/2010,25/12/2010,1,0,0,,1,,,6,N,1,1,1
27/12/2010,26/12/2010,1,1109,0,,,1,,7,N,1,1,1
28/12/2010,27/12/2010,1,462,0,,,,,8,N,1,1,1
29/12/2010,28/12/2010,1,732,0,,,,,9,N,1,1,1
30/12/2010,29/12/2010,1,1111,0,,,,,10,N,1,1,1
31/12/2010,30/12/2010,1,0,0,796,,,,11,N,1,1,1
01/01/2011,31/12/2010,1,0,0,,1,,,12,N,1,1,1
02/01/2011,01/01/2011,1,929,0,,,,,13,N,1,1,1
04/01/2011,02/01/2011,2,0,0,,1,,,15,N,1,1,1
05/01/2011,04/01/2011,1,774,0,,1,,,0,N,1,1,1
06/01/2011,05/01/2011,1,1177,0,,1,1,,1,N,1,1,1
07/01/2011,06/01/2011,1,0,0,,1,,,2,N,1,1,1
08/01/2011,07/01/2011,1,0,0,,1,,,3,N,1,1,1
09/01/2011,08/01/2011,1,0,0,,1,,,4,N,1,1,1
11/01/2011,09/01/2011,2,0,0,,1,,,6,N,1,1,1
14/01/2011,11/01/2011,3,845,0,,,,,9,N,1,1,1
17/01/2011,14/01/2011,3,878,0,,,,,12,N,1,1,1
18/01/2011,17/01/2011,1,901,0,,,,,13,N,1,1,1
20/01/2011,18/01/2011,2,0,0,,1,,,1,N,1,1,1
